title,overview
Brazil,"A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams. Genre: Drama, Sci-Fi"
Strangers on a Train,"A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder. Genre: Crime, Film-Noir, Thriller"
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis. Genre: Drama"
28 Days Later...,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary. Genre: Drama, Horror, Sci-Fi"
The Social Network,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business. Genre: Biography, Drama"
The Deer Hunter,"An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania. Genre: Drama, War"
Kubo and the Two Strings,"A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past. Genre: Animation, Action, Adventure"
Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body. Genre: Comedy"
Zelig,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people. Genre: Comedy"
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max. Genre: Action, Adventure, Sci-Fi"
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication. Genre: Biography, Drama"
The Goonies,"A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure. Genre: Adventure, Comedy, Family"
Badlands,"An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands. Genre: Action, Crime, Drama"
Hannah and Her Sisters,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly. Genre: Comedy, Drama"
Der Name der Rose,"An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey. Genre: Crime, Drama, Mystery"
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home. Genre: Animation, Adventure, Comedy"
Relatos salvajes,"Six short stories that explore the extremities of human behavior involving people in distress. Genre: Comedy, Drama, Thriller"
A Beautiful Mind,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish. Genre: Biography, Drama"
Dancer in the Dark,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film. Genre: Crime, Drama, Musical"
La migliore offerta,"A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining. Genre: Crime, Drama, Mystery"
E.T. the Extra-Terrestrial,"A troubled child summons the courage to help a friendly alien escape Earth and return to his home world. Genre: Family, Sci-Fi"
The Bourne Supremacy,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive. Genre: Action, Mystery, Thriller"
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil. Genre: Action, Adventure, Sci-Fi"
Funny Games,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement. Genre: Crime, Drama, Thriller"
Druk,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood. Genre: Comedy, Drama"
Papurika,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it. Genre: Animation, Drama, Fantasy"
Tropa de Elite,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits. Genre: Action, Crime, Drama"
El secreto de sus ojos,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later. Genre: Drama, Mystery, Romance"
All the President's Men,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation. Genre: Biography, Drama, History"
The Avengers,"Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity. Genre: Action, Adventure, Sci-Fi"
Stalker,"A guide leads two men through an area known as the Zone to find a room that grants wishes. Genre: Drama, Sci-Fi"
Kimi no na wa.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart? Genre: Animation, Drama, Fantasy"
"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family. Genre: Drama"
Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York. Genre: Animation, Comedy, Drama"
Love and Death,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon. Genre: Comedy, War"
Ratatouille,"A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant. Genre: Animation, Adventure, Comedy"
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer. Genre: Animation, Adventure, Family"
Drive,"A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor. Genre: Crime, Drama"
Anand,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend. Genre: Drama, Musical"
Bronenosets Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre. Genre: Drama, History, Thriller"
The Straight Story,"An old man makes a long journey by lawnmower to mend his relationship with an ill brother. Genre: Biography, Drama"
Mustang,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged. Genre: Drama"
The French Connection,"A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection. Genre: Action, Crime, Drama"
Cabaret,"A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them. Genre: Drama, Music, Musical"
Veer-Zaara,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever. Genre: Drama, Family, Musical"
Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames. Genre: Crime, Drama, Film-Noir"
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator. Genre: Action, Sci-Fi, Thriller"
The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer. Genre: Biography, Drama, History"
Le scaphandre et le papillon,"The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed. Genre: Biography, Drama"
The Blues Brothers,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised. Genre: Action, Adventure, Comedy"
Idi i smotri,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II. Genre: Drama, Thriller, War"
Mou gaan dou,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop. Genre: Action, Crime, Drama"
Twelve Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet. Genre: Mystery, Sci-Fi, Thriller"
Death Note: Desu nôto,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals. Genre: Crime, Drama, Fantasy"
Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe. Genre: Adventure, Drama, Thriller"
Tôkyô monogatari,"An old couple visit their children and grandchildren in the city, but receive little attention. Genre: Drama"
Waking Life,"A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe. Genre: Animation, Drama, Fantasy"
El ángel exterminador,"The guests at an upper-class dinner party find themselves unable to leave. Genre: Drama, Fantasy"
The Lego Movie,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis. Genre: Animation, Action, Adventure"
As Good as It Gets,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery. Genre: Comedy, Drama, Romance"
Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. Genre: Crime, Drama, Mystery"
Soul,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife. Genre: Animation, Adventure, Comedy"
Beauty and the Beast,"A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love. Genre: Animation, Family, Fantasy"
The Last Emperor,"The story of the final Emperor of China. Genre: Biography, Drama, History"
The Broken Circle Breakdown,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial. Genre: Drama, Music, Romance"
Notorious,"A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them? Genre: Drama, Film-Noir, Romance"
The Color Purple,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades. Genre: Drama
Little Miss Sunshine,"A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus. Genre: Comedy, Drama"
Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant. Genre: Crime, Drama, Thriller"
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her. Genre: Action, Crime, Drama"
Rogue One,"The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star. Genre: Action, Adventure, Sci-Fi"
The Man Who Would Be King,"Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great. Genre: Adventure, History, War"
Der Untergang,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII. Genre: Biography, Drama, History"
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right. Genre: Animation, Adventure, Comedy"
The Quiet Man,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union. Genre: Comedy, Drama, Romance"
Darbareye Elly,"The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers. Genre: Drama, Mystery"
The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle. Genre: Drama, Sport"
Paths of Glory,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them. Genre: Drama, War"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons. Genre: Drama, Romance"
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup. Genre: Crime, Mystery, Thriller"
Brokeback Mountain,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years. Genre: Drama, Romance"
Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen. Genre: Drama, History"
Flipped,"Two eighth-graders start to have feelings for each other despite being total opposites. Genre: Comedy, Drama, Romance"
Forushande,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections. Genre: Drama"
Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town. Genre: Crime, Drama, Film-Noir"
The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding. Genre: Comedy"
L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice. Genre: Crime, Drama, Mystery"
Paddington 2,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen. Genre: Adventure, Comedy, Family"
The Big Short,"In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is. Genre: Biography, Comedy, Drama"
Interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival. Genre: Adventure, Drama, Sci-Fi"
A Hard Day's Night,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance. Genre: Comedy, Music, Musical"
Le dîner de cons,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise. Genre: Comedy"
Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger. Genre: Adventure, Drama, Fantasy"
Lilja 4-ever,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life. Genre: Crime, Drama"
Adaptation.,"A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen. Genre: Comedy, Drama"
The Others,"A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted. Genre: Horror, Mystery, Thriller"
Dog Day Afternoon,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does. Genre: Biography, Crime, Drama"
Mulan,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process. Genre: Animation, Adventure, Family"
Short Cuts,"The day-to-day lives of several suburban Los Angeles residents. Genre: Comedy, Drama"
Chugyeokja,"A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing. Genre: Action, Crime, Thriller"
Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country. Genre: Drama, War"
Yip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive. Genre: Action, Biography, Drama"
Ferris Bueller's Day Off,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that. Genre: Comedy"
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself. Genre: Animation, Adventure, Drama"
All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror. Genre: Drama, War"
Big Fish,"A frustrated son tries to determine the fact from fiction in his dying father's life. Genre: Adventure, Drama, Fantasy"
Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea. Genre: Adventure, Drama, Sci-Fi"
Baby,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India. Genre: Action, Crime, Thriller"
Diarios de motocicleta,"The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling. Genre: Adventure, Biography, Drama"
Before Midnight,"We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna. Genre: Drama, Romance"
Harry Potter and the Goblet of Fire,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares. Genre: Adventure, Family, Fantasy"
The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift. Genre: Crime, Drama, Fantasy"
Incredibles 2,"The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world. Genre: Animation, Action, Adventure"
Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time. Genre: Drama, Thriller"
Moon,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems. Genre: Drama, Mystery, Sci-Fi"
The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family. Genre: Biography, Drama, Sport"
Ex Machina,"A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I. Genre: Drama, Sci-Fi, Thriller"
La planète sauvage,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders. Genre: Animation, Sci-Fi"
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives. Genre: Crime, Drama, Mystery"
Giù la testa,"A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution. Genre: Drama, War, Western"
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school. Genre: Animation, Adventure, Comedy"
Chak De! India,"Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds. Genre: Drama, Family, Sport"
Where Eagles Dare,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on. Genre: Action, Adventure, War"
Naked,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life. Genre: Comedy, Drama"
Tropa de Elite 2: O Inimigo Agora é Outro,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups. Genre: Action, Crime, Drama"
Tombstone,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating. Genre: Action, Biography, Drama"
Cidade de Deus,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin. Genre: Crime, Drama"
L'avventura,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other. Genre: Drama, Mystery"
Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak. Genre: Drama
C.R.A.Z.Y.,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs. Genre: Comedy, Drama"
Control,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23. Genre: Biography, Drama, Music"
The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically. Genre: Drama, Romance"
Loving Vincent,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there. Genre: Animation, Biography, Crime"
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict. Genre: Drama, War"
Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators. Genre: Action, Adventure, Sci-Fi"
Goldfinger,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve. Genre: Action, Adventure, Thriller"
Mad Max 2,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits. Genre: Action, Adventure, Sci-Fi"
50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease. Genre: Comedy, Drama, Romance"
The Butterfly Effect,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal. Genre: Drama, Sci-Fi, Thriller"
Hauru no ugoku shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle. Genre: Animation, Adventure, Family"
Frankenstein,"Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts. Genre: Drama, Horror, Sci-Fi"
True Grit,"A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer. Genre: Drama, Western"
Training Day,"A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be. Genre: Crime, Drama, Thriller"
Barry Lyndon,"An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England. Genre: Adventure, Drama, History"
La grande bellezza,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty. Genre: Drama"
300,"King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C. Genre: Action, Drama"
Sling Blade,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town. Genre: Drama"
Omoide no Mânî,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie. Genre: Animation, Drama, Family"
Talvar,"An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide. Genre: Crime, Drama, Mystery"
The Magdalene Sisters,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum. Genre: Drama
Midnight Express,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison. Genre: Biography, Crime, Drama"
Blow,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States. Genre: Biography, Crime, Drama"
Marriage Story,"Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together. Genre: Comedy, Drama, Romance"
Little Women,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms. Genre: Drama, Romance"
My Left Foot: The Story of Christy Brown,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot. Genre: Biography, Drama"
Sanjuro,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent. Genre: Action, Comedy, Crime"
Invasion of the Body Snatchers,"A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates. Genre: Drama, Horror, Sci-Fi"
Batman: Mask of the Phantasm,"Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin. Genre: Animation, Action, Crime"
Peeping Tom,"A young man murders women, using a movie camera to film their dying expressions of terror. Genre: Drama, Horror, Thriller"
The Taking of Pelham One Two Three,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away? Genre: Action, Crime, Thriller"
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency. Genre: Drama"
Crash,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption. Genre: Crime, Drama, Thriller"
Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child. Genre: Drama, Mystery, Thriller"
Zulu,"Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift. Genre: Drama, History, War"
Mysterious Skin,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth. Genre: Drama"
Gully Boy,"A coming-of-age story based on the lives of street rappers in Mumbai. Genre: Drama, Music, Romance"
Arsenic and Old Lace,"A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers. Genre: Comedy, Crime, Thriller"
Gongdong gyeongbi guyeok JSA,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened. Genre: Action, Drama, Thriller"
A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her. Genre: Drama
Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast. Genre: Biography, Drama, History"
Ocean's Eleven,"Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously. Genre: Crime, Thriller"
Sen to Chihiro no kamikakushi,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts. Genre: Animation, Adventure, Family"
Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder. Genre: Drama, Mystery, Thriller"
King Kong,"A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition. Genre: Adventure, Horror, Sci-Fi"
Falling Down,"An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them. Genre: Action, Crime, Drama"
Ghostbusters,"Three former parapsychology professors set up shop as a unique ghost removal service. Genre: Action, Comedy, Fantasy"
The Great Escape,"Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II. Genre: Adventure, Drama, History"
Ondskan,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back. Genre: Drama"
Harry Potter and the Deathly Hallows: Part 1,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows. Genre: Adventure, Family, Fantasy"
Vikram Vedha,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict. Genre: Action, Crime, Drama"
Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership. Genre: Comedy, Crime, Drama"
Pink Floyd: The Wall,"A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone. Genre: Drama, Fantasy, Music"
Dunkirk,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II. Genre: Action, Drama, History"
Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent. Genre: Comedy, Drama"
Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun. Genre: Horror, Sci-Fi"
Jules et Jim,"Decades of a love triangle concerning two friends and an impulsive woman. Genre: Drama, Romance"
Victoria,"A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret. Genre: Crime, Drama, Romance"
Nebraska,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize. Genre: Adventure, Comedy, Drama"
Casino Royale,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro. Genre: Action, Adventure, Thriller"
