title,overview
2001: A Space Odyssey,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000. Genre: Adventure, Sci-Fi"
Barfi!,"Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal. Genre: Comedy, Drama, Romance"
"Lock, Stock and Two Smoking Barrels","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns. Genre: Action, Comedy, Crime"
Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him. Genre: Mystery, Thriller"
Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart. Genre: Drama, Romance"
It's a Wonderful Life,"An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed. Genre: Drama, Family, Fantasy"
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites. Genre: Drama, Romance"
La haine,"24 hours in the lives of three young men in the French suburbs the day after a violent riot. Genre: Crime, Drama"
Manhattan,"The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress. Genre: Comedy, Drama, Romance"
Tenkû no shiro Rapyuta,"A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle. Genre: Animation, Adventure, Drama"
The Lion in Winter,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him. Genre: Biography, Drama, History"
Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier. Genre: Action, Adventure, Sci-Fi"
Les yeux sans visage,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face. Genre: Drama, Horror"
Paan Singh Tomar,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement. Genre: Action, Biography, Crime"
Gran Torino,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino. Genre: Drama"
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy. Genre: Animation, Adventure, Comedy"
The Gold Rush,"A prospector goes to the Klondike in search of gold and finds it and more. Genre: Adventure, Comedy, Drama"
To Kill a Mockingbird,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice. Genre: Crime, Drama"
Rupan sansei: Kariosutoro no shiro,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to. Genre: Animation, Adventure, Family"
Midnight Cowboy,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process. Genre: Drama"
Lucky Number Slevin,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him. Genre: Action, Crime, Drama"
Mississippi Burning,"Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists. Genre: Crime, Drama, History"
Awakenings,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them. Genre: Biography, Drama"
Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond. Genre: Adventure, Drama, Thriller"
La dolce vita,"A series of stories following a week in the life of a philandering paparazzo journalist living in Rome. Genre: Comedy, Drama"
Home Alone,"An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation. Genre: Comedy, Family"
The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World. Genre: Drama"
Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better. Genre: Animation, Comedy, Crime"
Clerks,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof. Genre: Comedy"
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion. Genre: Animation, Family, Fantasy"
Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom. Genre: Comedy, Crime, Drama"
English Vinglish,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English. Genre: Comedy, Drama, Family"
Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap. Genre: Action, Adventure, Fantasy"
Who Framed Roger Rabbit,"A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder. Genre: Animation, Adventure, Comedy"
The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it. Genre: Comedy, Crime, Mystery"
Wait Until Dark,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment. Genre: Thriller
Efter brylluppet,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret. Genre: Drama"
The Hurricane,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence. Genre: Biography, Drama, Sport"
La Vie En Rose,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy. Genre: Biography, Drama, Music"
Atonement,"Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit. Genre: Drama, Mystery, Romance"
Fantastic Mr. Fox,"An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation. Genre: Animation, Adventure, Comedy"
The Sound of Music,"A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower. Genre: Biography, Drama, Family"
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years. Genre: Action, Drama, Mystery"
Höstsonaten,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist. Genre: Drama, Music"
Rocky,"A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect. Genre: Drama, Sport"
Glengarry Glen Ross,"An examination of the machinations behind the scenes at a real estate office. Genre: Crime, Drama, Mystery"
Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders. Genre: Fantasy, Horror, Mystery"
8½,A harried movie director retreats into his memories and fantasies. Genre: Drama
The Best Years of Our Lives,"Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed. Genre: Drama, Romance, War"
All That Jazz,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer. Genre: Drama, Music, Musical"
Mission: Impossible - Fallout,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong. Genre: Action, Adventure, Thriller"
Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah. Genre: Comedy"
Rushmore,"The extracurricular king of Rushmore Preparatory School is put on academic probation. Genre: Comedy, Drama, Romance"
True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it. Genre: Crime, Drama, Romance"
The Machinist,"An industrial worker who hasn't slept in a year begins to doubt his own sanity. Genre: Drama, Thriller"
Ivanovo detstvo,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers. Genre: Drama, War"
